PLZ,Ort,Bundesland,gültig ab,gültig bis,NamePLZTyp,intern_extern,adressierbar,Postfach
6273,Ried im Zillertal,T,01.01.2012,,PLZ-Adressierung,extern,Ja,Nein
6274,Aschau,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6275,Stumm,T,09.10.2008,,PLZ-Adressierung,extern,Ja,Ja
6276,Stummerberg,T,01.10.2008,,PLZ-Adressierung,extern,Ja,Nein
6277,Zellberg,T,01.04.2009,,PLZ-Adressierung,extern,Ja,Nein
6278,Hainzenberg,T,01.10.2009,,PLZ-Adressierung,extern,Ja,Nein
6280,Zell am Ziller,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6281,Gerlos,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6283,Hippach,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6284,Ramsau im Zillertal,T,01.01.2008,,PLZ-Adressierung,extern,Ja,Nein
6290,Mayrhofen,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6292,Finkenberg,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6293,Tux,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6294,Hintertux,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6295,Ginzling,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6300,Wörgl,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6305,Itter,T,01.09.2006,,PLZ-Adressierung,extern,Ja,Nein
6306,Söll,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6311,Wildschönau-Oberau,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6313,Wildschönau-Auffach,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6314,Wildschönau-Niederau,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6320,Angerberg,T,01.01.2009,,PLZ-Adressierung,extern,Ja,Nein
6321,Angath,T,01.10.2010,,PLZ-Adressierung,extern,Ja,Nein
6322,Kirchbichl,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6323,Bad Häring,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6324,Mariastein,T,01.11.2007,,PLZ-Adressierung,extern,Ja,Nein
6330,Kufstein,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6331,Kufstein,T,01.08.2011,,PLZ-Postfach,extern,Nein,Ja
6332,Kufstein,T,01.01.1966,,PLZ-Postfach,extern,Nein,Ja
6333,Kufstein,T,01.01.1966,,PLZ-Postfach,extern,Nein,Ja
6334,Schwoich,T,01.10.2007,,PLZ-Adressierung,extern,Ja,Nein
6335,Thiersee,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6336,Langkampfen,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6341,Ebbs,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6342,Niederndorf,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6343,Erl,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6344,Walchsee,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6345,Kössen,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6346,Niederndorferberg,T,01.01.2011,,PLZ-Adressierung,extern,Ja,Nein
